종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"000990","DB하이텍","52400","-300","-0.57","6241","8.40","5664","9.25","41655","1.26","580","1.11"
"139130","DGB금융지주","8020","-40","-0.50","2180","3.68","2607","3.08","35751","0.22","550","6.86"
"060900","DGP","1064","-24","-2.21",,,,,"2149","0.50","0","0.00"
"290120","DH오토리드","2835","0","0.00",,,,,"5438","0.52","0","0.00"
"025440","DH오토웨어","380","-4","-1.04","5","76.00",,,"452","0.84","0","0.00"
"001530","DI동일","28900","800","2.85","164","176.22","866","33.37","30136","0.96","250","0.87"
"000210","DL","54400","700","1.30",,,"12180","4.47","169901","0.32","1000","1.84"
"000215","DL우","26800","-450","-1.65",,,,,,,"1050","3.92"
"375500","DL이앤씨","32650","0","0.00","4679","6.98","7262","4.50","118750","0.27","500","1.53"
"37550L","DL이앤씨2우(전환)","22400","-150","-0.67",,,,,,,"500","2.23"
"37550K","DL이앤씨우","16790","-250","-1.47",,,,,,,"550","3.28"
"068790","DMS","5770","40","0.70","829","6.96",,,"13160","0.44","90","1.56"
"007340","DN오토모티브","82800","700","0.85","31884","2.60",,,"132197","0.63","3000","3.62"
"004840","DRB동일","5120","-50","-0.97","798","6.42",,,"19664","0.26","100","1.95"
"241520","DSC인베스트먼트","3175","-75","-2.31","543","5.85",,,"3895","0.82","40","1.26"
"155660","DSR","4320","-10","-0.23","1093","3.95",,,"13467","0.32","60","1.39"
"069730","DSR제강","4245","-100","-2.30","899","4.72",,,"13555","0.31","60","1.41"
"017860","DS단석","92400","-2400","-2.53","7966","11.60",,,"47319","1.95","0","0.00"
"180400","DXVX","3460","-75","-2.12",,,,,"608","5.69","0","0.00"
"017940","E1","74800","100","0.13","36872","2.03","22655","3.30","280943","0.27","5150","6.89"
"245620","EDGC","415","0","0.00",,,,,"324","1.28","0","0.00"
"037370","EG","7140","10","0.14",,,,,"6927","1.03","0","0.00"
"050120","ES큐브","1999","-6","-0.30",,,,,"6161","0.32","0","0.00"
"383220","F&F","63500","800","1.28","11144","5.70","11117","5.71","33834","1.88","1700","2.68"
"007700","F&F홀딩스","14610","0","0.00","3130","4.67",,,"54668","0.27","400","2.74"
"214270","FSN","2085","-5","-0.24",,,,,"2272","0.92","0","0.00"
"130500","GH신소재","3070","20","0.66","148","20.74",,,"5394","0.57","0","0.00"
"114090","GKL","11950","-50","-0.42","709","16.85","1136","10.52","6658","1.79","353","2.95"
"078930","GS","46250","-1100","-2.32","13737","3.37","13787","3.35","142065","0.33","2500","5.41"
"083450","GST","17150","-760","-4.24","1985","8.64",,,"12539","1.37","500","2.92"
"006360","GS건설","17760","30","0.17",,,"3263","5.44","50825","0.35","0","0.00"
"001250","GS글로벌","3650","95","2.67","337","10.83",,,"5113","0.71","25","0.68"
"007070","GS리테일","21150","150","0.71","173","122.25","2504","8.45","39235","0.54","500","2.36"
"078935","GS우","38200","-700","-1.80",,,,,,,"2550","6.68"
"297890","HB솔루션","4740","-215","-4.34","1137","4.17",,,"3319","1.43","30","0.63"
"440290","HB인베스트먼트","2270","-15","-0.66","444","5.11",,,"2922","0.78","0","0.00"
"078150","HB테크놀러지","3010","-185","-5.79","983","3.06",,,"3503","0.86","20","0.66"
"012630","HDC","8970","180","2.05","2147","4.18",,,"49804","0.18","300","3.34"
"039570","HDC랩스","8350","-30","-0.36","573","14.57",,,"11253","0.74","450","5.39"
"089470","HDC현대EP","4075","5","0.12","759","5.37",,,"11685","0.35","140","3.44"
"294870","HDC현대산업개발","19950","-150","-0.75","2678","7.45","3990","5.00","46876","0.43","700","3.51"
"009540","HD한국조선해양","189000","-700","-0.37","3135","60.29","17813","10.61","140052","1.35","0","0.00"
"267250","HD현대","80500","0","0.00","3743","21.51","11349","7.09","103689","0.78","3700","4.60"
